iter	Passed	Remaining
792	772	201
793	772	200
794	773	199
795	774	198
796	775	197
797	776	196
798	776	195
799	777	194
800	778	193
801	778	192
802	779	191
803	780	190
804	781	189
805	782	188
806	783	187
807	783	186
808	784	185
809	785	184
810	785	183
811	786	182
812	787	181
813	788	180
814	788	179
815	789	178
816	790	176
817	790	175
818	791	174
819	792	173
820	793	172
821	793	171
822	794	170
823	795	169
824	796	168
825	796	167
826	797	166
827	798	165
828	799	164
829	799	163
830	800	162
831	801	161
832	802	160
833	803	159
834	803	158
835	804	157
836	805	156
837	805	155
838	806	154
839	807	153
840	808	152
841	808	151
842	809	150
843	810	149
844	810	148
845	811	147
846	812	146
847	813	145
848	813	144
849	814	143
850	815	142
851	816	141
852	816	140
853	817	139
854	818	138
855	819	137
856	819	136
857	820	135
858	821	134
859	822	133
860	823	132
861	823	131
862	824	130
863	825	129
864	826	128
865	827	127
866	827	127
867	828	126
868	829	125
869	830	124
870	830	123
871	831	122
872	832	121
873	833	120
874	833	119
875	834	118
876	835	117
877	836	116
878	836	115
879	837	114
880	838	113
881	839	112
882	840	111
883	840	110
884	841	109
885	842	108
886	843	107
887	843	106
888	844	105
889	845	104
890	846	103
891	846	102
892	847	101
893	848	100
894	848	99
895	849	98
896	850	97
897	851	96
898	851	95
899	852	94
900	853	93
901	854	92
902	854	91
903	855	90
904	856	89
905	856	88
906	857	87
907	858	86
908	859	86
909	860	85
910	860	84
911	861	83
912	862	82
913	863	81
914	863	80
915	864	79
916	865	78
917	866	77
918	867	76
919	867	75
920	868	74
921	869	73
922	870	72
923	870	71
924	871	70
925	872	69
926	873	68
927	874	67
928	874	66
929	875	65
930	876	64
931	877	64
932	878	63
933	878	62
934	879	61
935	880	60
936	881	59
937	881	58
938	882	57
939	883	56
940	884	55
941	884	54
942	885	53
943	886	52
944	886	51
945	887	50
946	888	49
947	889	48
948	889	47
949	890	46
950	891	45
951	892	44
952	892	44
953	893	43
954	894	42
955	895	41
956	895	40
957	896	39
958	897	38
959	898	37
960	898	36
961	899	35
962	900	34
963	901	33
964	902	32
965	902	31
966	903	30
967	904	29
968	905	28
969	905	28
970	906	27
971	907	26
972	908	25
973	910	24
974	911	23
975	912	22
976	912	21
977	913	20
978	914	19
979	915	18
980	916	17
981	917	16
982	917	15
983	918	14
984	919	13
985	920	13
986	921	12
987	922	11
988	922	10
989	923	9
990	924	8
991	925	7
992	925	6
993	926	5
994	927	4
995	928	3
996	929	2
997	930	1
998	930	0
999	931	0
